Date,Open,High,Low,Close,Volume
9-Aug-16,538.70,543.00,534.27,540.80,18540951
8-Aug-16,535.60,539.80,528.72,537.00,17102405
5-Aug-16,523.00,532.21,518.42,525.63,26544118
4-Aug-16,511.30,520.70,503.85,517.30,31937542
3-Aug-16,500.40,510.00,491.11,504.40,36726548
2-Aug-16,487.90,488.85,482.05,482.80,19961461
1-Aug-16,495.90,496.50,488.25,489.05,19241844
29-Jul-16,491.90,498.55,490.25,495.10,17982004
28-Jul-16,498.80,499.30,490.35,490.90,18302711
27-Jul-16,497.35,499.65,494.80,497.70,14536842
26-Jul-16,495.45,498.50,492.45,494.00,21068033
25-Jul-16,493.00,494.80,489.15,489.80,16907428
22-Jul-16,491.75,496.29,488.80,493.60,16023815
21-Jul-16,491.00,495.70,489.89,492.50,21086304
20-Jul-16,493.00,497.35,492.65,495.15,24485569
19-Jul-16,482.50,489.20,482.10,489.00,19287325
18-Jul-16,482.65,486.00,479.74,484.80,19518700
15-Jul-16,475.75,480.90,473.65,479.30,27383560
14-Jul-16,480.95,482.95,474.00,476.70,24950670
13-Jul-16,473.65,477.45,439.73,475.00,34409578
12-Jul-16,474.20,478.95,473.55,476.70,31439691
11-Jul-16,475.05,480.30,473.50,478.85,21160531
8-Jul-16,462.80,473.25,462.55,470.80,19661344
7-Jul-16,466.45,468.80,463.15,464.45,23267977
6-Jul-16,464.95,467.50,458.70,461.80,41678863
5-Jul-16,463.05,469.15,461.35,464.75,38205702
4-Jul-16,468.00,471.55,461.65,463.75,22145192
1-Jul-16,470.50,474.95,464.95,469.85,33762941
30-Jun-16,452.40,465.90,449.85,455.80,54959099
29-Jun-16,450.45,453.65,445.50,452.75,46131104
28-Jun-16,446.50,449.95,442.00,443.60,45288014
27-Jun-16,448.00,452.85,432.15,438.00,72192707
24-Jun-16,432.00,457.55,392.37,447.95,119346273
23-Jun-16,445.85,454.45,443.40,454.45,34843872
22-Jun-16,443.20,448.85,439.85,444.00,31215751
21-Jun-16,436.00,442.25,432.13,439.80,35527137
20-Jun-16,441.75,443.00,435.00,437.35,38281592
17-Jun-16,428.60,434.75,426.15,431.20,63968627
16-Jun-16,421.10,428.20,419.30,426.50,34829496
15-Jun-16,428.75,431.68,423.85,425.75,36013133
14-Jun-16,431.70,432.70,424.20,425.40,41405570
13-Jun-16,430.30,436.68,429.30,430.90,30478907
10-Jun-16,443.35,443.35,431.40,433.75,35830939
9-Jun-16,445.40,447.80,443.20,443.55,22149902
8-Jun-16,447.85,448.25,442.90,446.70,20392811
7-Jun-16,449.65,452.55,445.90,446.65,17735862
6-Jun-16,444.90,452.10,444.10,448.35,21179891
3-Jun-16,451.35,456.10,440.00,444.80,29475905
2-Jun-16,447.35,453.55,445.60,446.15,26678139
1-Jun-16,448.00,449.40,441.45,444.85,28121035
31-May-16,450.85,454.58,445.05,445.05,39715432
27-May-16,444.75,449.25,444.70,448.45,16235253
26-May-16,442.95,447.65,441.45,445.95,25666959
25-May-16,442.00,449.20,440.20,446.40,28332488
24-May-16,426.60,437.55,424.60,434.25,25282399
23-May-16,428.10,433.35,425.25,427.25,17868194
20-May-16,428.20,437.88,425.20,429.25,27263041
19-May-16,434.65,439.20,426.55,426.55,32766424
18-May-16,433.00,436.50,429.00,435.50,21130512
17-May-16,432.50,437.55,431.00,434.60,24041222
16-May-16,428.70,430.95,427.40,428.80,14061456
13-May-16,422.20,431.60,420.35,430.00,22206872
12-May-16,428.00,432.30,423.09,423.55,22651643
11-May-16,433.00,433.80,426.30,431.15,16130116
10-May-16,433.00,437.47,429.91,433.00,21394774
9-May-16,436.40,438.10,428.95,429.85,16427301
6-May-16,432.75,434.00,424.65,431.75,20481249
5-May-16,439.50,441.25,435.00,436.55,20587030
4-May-16,442.80,447.25,436.10,436.65,29829152
3-May-16,463.65,465.90,443.65,445.05,35675464
29-Apr-16,458.80,462.86,452.50,452.50,32158107
